law_title,url,heading,level,text
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,نبذة عن النظام,4,"**تضمن النظام:** تطبيق النظام، الأشخاص، الأشياء والأموال، أنواع الحق، الحقوق الشخصية، الالتزامات، العقد، الضرر والتعويض، الأوصاف العارضة على الالتزام، انتقال الالتزام، انقضاء الالتزام، العقود، الحقوق العينية، أحكام ختامية، قواعد كلية، نفاذ النظام بعد (180) يوما من تاريخ النشر.

  



الاسم نظام المعاملات المدنية

تاريخ الإصدار 1444/11/29 هـ الموافق : 18/06/2023 مـ

تاريخ النشر 1444/12/01 هـ الموافق : 19/06/2023 مـ 

الحالة ساري

أدوات إصدار النظام

  * [مرسوم ملكي رقم (م/191) وتاريخ 1444/11/29هـ](/BoeLaws/Laws/Viewer/028f6c39-d6ce-4eea-af21-b04f0095c95a?lawId=655fdb42-8c96-422b-b8c4-b04f0095c94c)
  * [قرار مجلس الوزراء رقم (820) وتاريخ 1444/11/24هـ](/BoeLaws/Laws/Viewer/dd95a3fb-1539-4efc-a4de-b04f00979c58?lawId=655fdb42-8c96-422b-b8c4-b04f0095c94c)"
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,نظام المعاملات المدنية,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,1444 هـ,3,بسم الله الرحمن الرحيم
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,باب تمهيدي الفصل الأول: تطبيق النظام,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفصل الثاني: الأشخاص الفرع الأول: الشخص ذو الصفة الطبيعية,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفرع الثاني: الشخص ذو الصفة الاعتبارية,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفصل الثالث: الأشياء والأموال,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفصل الرابع: أنواع الحق,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفصل الخامس: استعمال الحق,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,القسم الأول: الالتزامات (الحقوق الشخصية) الباب الأول: مصادر الالتزام الفصل الأول: العقد,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفرع الأول: أركان العقد أولًا: الرضى,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,1- التعبير عن الإرادة,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,2- أهلية المتعاقدين,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,3- عيوب الرضى,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,ثانيًا: المحل والسبب,3,
نظام المعاملات المدنية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/655fdb42-8c96-422b-b8c4-b04f0095c94c/1,الفرع الثاني: إبطال العقد وبطلانه أولًا: حق الإبطال,3,
